review_id,feature,opinion,sentiment,token,engagement
20,0,review,soylent,7.82e+17,0,@keanerie: the soylent review the world has been waiting for
25,0,bag,#SiliconValley,7.82e+17,0,@oneminuteapp: #SiliconValley hipster bag 101 - @soylent #Coffeeist
26,2,bag,#SiliconValley,7.82e+17,0,#SiliconValley hipster bag 101 - @soylent #Coffeeist
28,0,bottle,2.0,7.82e+17,1,@soylent appreciate you getting rid of the foil under the 2.0 bottle caps
29,0,taste,good,7.82e+17,1,"Ok, this product from @soylent actually tastes good."
35,0,bottle,2.0,7.82e+17,2,I wish the UX of opening a @Soylent 2.0 bottle were more enjoyable
35,0,bottle,@Soylent,7.82e+17,2,I wish the UX of opening a @Soylent 2.0 bottle were more enjoyable
63,0,meal,next,7.81e+17,0,(only did this bc i want my math professor to judge me)I'm making my next meal a Soylent!
75,1,people,@tedotte,7.81e+17,0,@tedotte @soylent people need to wake up!
77,0,powder,new,7.8e+17,0,So the new powder has Xanthin Gum.
92,1,purchase,gon,7.8e+17,0,@KristyT gonna buy you a big box of Soylent as your housewarming gift
93,1,thing,best,7.8e+17,1,@JPManga Soylent replaces something necessary (food) with next best thing.
93,1,thing,next,7.8e+17,1,@JPManga Soylent replaces something necessary (food) with next best thing.
109,0,thing,messed,7.84388e+17,2,the whole joylent / soylent thing is pretty messed up / hilarious
109,0,thing,hilarious,7.84388e+17,2,the whole joylent / soylent thing is pretty messed up / hilarious
111,1,kind,different,7.84274e+17,2,"Try joylent though, their vegan option has a different kind of"
119,0,etc,soylent/joylent,7.8405e+17,2,@neurosaurus i do soylent/joylent etc but honestly i get the powder and mix it myself?
120,0,breakfast,first,7.83981e+17,2,Eating my first #joylent breakfast.
120,0,taste,sweet,7.83981e+17,1,"It's not bad, but the best part is the sweet, sweet taste of ultimate laziness."
123,4,breakfast,replacer,7.83917e+17,2,trying out this joylent meal replacer for my breakfast.... it's real cute
124,0,thing,joylent,7.83818e+17,2,@werewoolfs @vilevelns what is this joylent thing
126,2,meals,normal,7.8381e+17,0,(1-2 normal meals because family)
159,2,protein,Ambronite,7.85e+17,-1,Ambronite Meal replacement protein shake.
159,2,taste,better,7.85e+17,0,Maybe better taste than soylent @robmay?
195,0,taste,delicious,7.84e+17,2,The new taste is simply delicious
196,0,trier,uC,7.84e+17,-1,"Madonna is shaking it, and you should try too uC"
199,2,taste,new,7.83e+17,2,The new taste is simply delicious #supermeal
