review_id,feature,opinion,sentiment,token,engagement
3,0,results,effective,z134sndgixmavha4404citl5btq1d5n5ulk0k,1,If yes then here are best tips to use meal replacement for most effective results.
8,5,protein,plnt,z13qvdvgukubgnwkp22ty5r5dsizdbrpr04,0,Our plnt protein and meal replacements...
8,5,protein,plnt,z13qvdvgukubgnwkp22ty5r5dsizdbrpr04,0,"Our plnt protein and meal replacements are now buy one get one 50% off Dairy Free, Fish Free, Gluten Free, Soy Free, Wheat Free, Yeast Free & 19g protein per serving"
8,5,protein,19g,z13qvdvgukubgnwkp22ty5r5dsizdbrpr04,0,"Our plnt protein and meal replacements are now buy one get one 50% off Dairy Free, Fish Free, Gluten Free, Soy Free, Wheat Free, Yeast Free & 19g protein per serving"
8,5,protein,plnt,z13qvdvgukubgnwkp22ty5r5dsizdbrpr04,0,"Our plnt protein and meal replacements are now buy one get one 50% off Dairy Free, Fish Free, Gluten Free, Soy Free, Wheat Free, Yeast Free & 19g protein per serving"
8,5,protein,19g,z13qvdvgukubgnwkp22ty5r5dsizdbrpr04,0,"Our plnt protein and meal replacements are now buy one get one 50% off Dairy Free, Fish Free, Gluten Free, Soy Free, Wheat Free, Yeast Free & 19g protein per serving"
12,0,weight,losing,z12bdrlx5q30yncvr23wilsilsjqjxumv,-2,"The Benefits of Meal Replacement Shakes for Weight Loss - For some people, losing weight can be something hard to do."
12,0,loss,best,z12bdrlx5q30yncvr23wilsilsjqjxumv,-1,"If we are one of them, meal replacement shakes for weight loss is the best option to take."
12,0,foods,solid,z12bdrlx5q30yncvr23wilsilsjqjxumv,-1,It substitutes solid foods but contain lower calories.
12,0,calories,lower,z12bdrlx5q30yncvr23wilsilsjqjxumv,-1,It substitutes solid foods but contain lower calories.
12,0,drinks,powdered,z12bdrlx5q30yncvr23wilsilsjqjxumv,-1,Meal replacement shakes are pre-packaged powdered milk drinks which are intended to replace conventional meals.
12,0,meals,conventional,z12bdrlx5q30yncvr23wilsilsjqjxumv,-1,Meal replacement shakes are pre-packaged powdered milk drinks which are intended to replace conventional meals.
